source,target,type,weight
AT4G29040,GO:0048829,annotated_with,
AT4G29040,GO:0090351,annotated_with,
AT4G29040,ath03050,participates_in,
AT4G29040,GO:0000502,located_in,
AT4G29040,GO:0005634,located_in,
AT4G29040,GO:0005886,located_in,
AT4G29040,GO:0008540,located_in,
AT4G30430,GO:0009734,annotated_with,
AT4G30430,GO:0005576,located_in,
AT4G30430,GO:0005886,located_in,
AT4G30430,GO:0009506,located_in,
AT2G25350,GO:0007165,annotated_with,
AT2G25350,GO:0015031,annotated_with,
AT2G25350,GO:0005634,located_in,
AT2G25350,GO:0005737,located_in,
AT2G25350,GO:0005794,located_in,
AT2G25350,GO:0010008,located_in,
AT3G01430,GO:0005634,located_in,
AT4G24120,GO:0003006,annotated_with,
AT4G24120,GO:0010039,annotated_with,
AT4G24120,GO:0048316,annotated_with,
AT4G24120,GO:0005737,located_in,
AT4G24120,GO:0005886,located_in,
AT1G24230,SF_response_downregulated,has_response,1.05206592362823
AT1G24230,GO:0000122,annotated_with,
AT1G24230,GO:0000118,located_in,
AT1G24230,GO:0000785,located_in,
AT1G24230,GO:0005634,located_in,
AT5G27100,GO:0006816,annotated_with,
AT5G27100,GO:0006874,annotated_with,
AT5G27100,GO:0009416,annotated_with,
AT5G27100,GO:0019722,annotated_with,
AT5G27100,GO:0071230,annotated_with,
AT5G27100,GO:0005886,located_in,
AT2G41150,SF_response_upregulated,has_response,0.432094208245407
AT2G41150,GO:0005739,located_in,
AT2G41150,GO:0005768,located_in,
AT2G41150,GO:0005794,located_in,
AT2G41150,GO:0005802,located_in,
AT5G22740,GO:0010192,annotated_with,
AT5G22740,GO:0048359,annotated_with,
AT5G22740,GO:0005794,located_in,
AT5G22740,GO:0005797,located_in,
AT4G12800,ath00195,participates_in,
AT4G12800,ath01100,participates_in,
AT4G12800,GO:0005829,located_in,
AT4G12800,GO:0009507,located_in,
AT4G12800,GO:0009534,located_in,
AT4G12800,GO:0009535,located_in,
AT4G12800,GO:0009538,located_in,
AT4G12800,GO:0009579,located_in,
AT4G12800,GO:0009941,located_in,
AT4G12800,GO:0010287,located_in,
AT5G60270,GO:0002229,annotated_with,
AT5G60270,GO:0042742,annotated_with,
AT5G60270,GO:0005576,located_in,
AT5G60270,GO:0005886,located_in,
AT5G08740,GO:0042372,annotated_with,
AT5G08740,ath00130,participates_in,
AT5G08740,ath01100,participates_in,
AT5G08740,ath01110,participates_in,
AT5G08740,ath01240,participates_in,
AT5G08740,GO:0005739,located_in,
AT5G08740,GO:0005743,located_in,
AT5G08740,GO:0005886,located_in,
AT5G08740,GO:0009505,located_in,
AT5G08740,GO:0009507,located_in,
AT5G08740,GO:0009534,located_in,
AT5G08740,GO:0010287,located_in,
AT1G29340,GO:0009626,annotated_with,
AT1G29340,GO:0016567,annotated_with,
AT1G29340,GO:0098542,annotated_with,
AT1G29340,GO:0005634,located_in,
AT1G29340,GO:0005737,located_in,
AT1G29340,GO:0009507,located_in,
AT1G78720,GO:0006616,annotated_with,
AT1G78720,GO:0031204,annotated_with,
AT1G78720,ath03060,participates_in,
AT1G78720,ath04141,participates_in,
AT1G78720,ath04145,participates_in,
AT1G78720,GO:0005783,located_in,
AT1G78720,GO:0005784,located_in,
AT1G78720,GO:0009507,located_in,
AT3G09940,GO:0009414,annotated_with,
AT3G09940,GO:0009610,annotated_with,
AT3G09940,GO:0009753,annotated_with,
AT3G09940,ath00053,participates_in,
AT3G09940,ath01100,participates_in,
AT3G09940,GO:0005737,located_in,
AT3G09940,GO:0005829,located_in,
AT5G04770,GO:0003333,annotated_with,
AT5G04770,GO:0006865,annotated_with,
AT5G04770,GO:0009624,annotated_with,
AT5G04770,GO:0055085,annotated_with,
AT5G04770,GO:0005886,located_in,
AT5G04770,GO:0009507,located_in,
AT5G49945,GO:0005783,located_in,
AT4G31000,GO:0080142,annotated_with,
AT4G31000,GO:0005634,located_in,
AT1G06670,SF_response_upregulated,has_response,0.162615781046049
AT1G06670,GO:0006259,annotated_with,
AT1G06670,ath03018,participates_in,
AT1G06670,GO:0005634,located_in,
AT1G76920,GO:0006511,annotated_with,
AT1G76920,GO:0016567,annotated_with,
AT1G76920,GO:0005634,located_in,
AT5G23080,GO:0006396,annotated_with,
AT5G23080,GO:0010087,annotated_with,
AT5G23080,GO:0030422,annotated_with,
AT5G23080,GO:0035196,annotated_with,
AT5G23080,GO:0005634,located_in,
AT5G53420,GO:0009909,annotated_with,
AT5G53420,GO:0090548,annotated_with,
AT5G53420,GO:0005634,located_in,
AT1G61390,GO:0002221,annotated_with,
AT1G61390,GO:0045087,annotated_with,
AT1G61390,GO:0048544,annotated_with,
AT1G61390,GO:0005886,located_in,
AT2G27110,GO:0006355,annotated_with,
AT2G27110,GO:0005634,located_in,
