gene_id,fisher_stat,fisher_pval,n_studies,mean_log2fc,median_log2fc,sd_log2fc,n_up,n_down,n_sig,direction_concordance,fisher_fdr,meta_log2fc,meta_se,meta_z,meta_pval,meta_ci_lb,meta_ci_ub,meta_I2,meta_tau2,meta_n,meta_het_pval,meta_fdr,consensus_class,direction,is_gwas_gene,is_de_gene,is_consensus_de,is_overlap,is_consensus_overlap,gwas_traits,n_gwas_associations
AT3G18890,986.363209478283,1.14604214044851e-183,18,0.132625661728663,0.0165525908120757,1.34955905094615,4,2,6,0.555555555555556,1.33965615160851e-181,0.147065434649045,0.336662856371686,0.436832967657948,0.66223248818351,-0.51278163877184,0.80691250806993,97.3752587698417,1.85870341562566,18.0,1.23887129172159e-146,0.885779267341152,fisher_only,upregulated,True,True,False,True,False,clim-gs tmax,60.0
AT3G24070,961.792859198556,1.6171060694230498e-178,18,0.0489126702646179,0.131565496331518,0.510697007835537,1,2,3,0.722222222222222,1.75952666895442e-176,0.0281773174937225,0.127783127104486,0.22050890545731,0.825474837510835,-0.222273009462974,0.278627644450419,94.5937737311876,0.251782136174299,18.0,4.3419638358287905e-110,0.947735508238595,fisher_only,upregulated,True,True,False,True,False,As2,108.0
AT5G55480,958.000600906833,1.0071904993757e-177,18,0.0396938900273327,-0.0480937799137349,0.444506680075661,3,0,3,0.611111111111111,1.07339207614164e-175,0.0677261560460615,0.112675393643031,0.601073170071421,0.547791252509848,-0.153113557438152,0.288565869530275,93.1317044280497,0.192109373097021,18.0,1.6399773377299e-94,0.833746995958255,fisher_only,upregulated,True,True,False,True,False,PC2sc0,414.0
AT1G27100,933.971772006972,1.08086254703332e-172,18,-0.244656144561323,-0.0987951456203202,0.55794863855604,2,5,7,0.555555555555556,1.0746713994938001e-170,-0.231118145996762,0.134616463265229,-1.71686389904183,0.0860040423790767,-0.494961565722769,0.0327252737292452,94.9772273241525,0.275197319216447,18.0,2.61252372283431e-99,0.383194155930257,fisher_only,downregulated,True,True,False,True,False,FT GH,9.0
AT5G48300,931.444855153008,3.65195621514415e-172,18,0.0999498191571595,0.0165887668892713,1.23302284691692,3,3,6,0.555555555555556,3.6102891337561196e-170,0.111795764700266,0.298383177295123,0.374671808624426,0.707904560939963,-0.473024516390804,0.696616045791336,98.4189858072619,1.50576882317215,18.0,1.39878622509206e-165,0.904854607583638,fisher_only,upregulated,True,True,False,True,False,DTF spain 2008 (2nd experiment),54.0
AT1G66970,923.017207619415,7.77868366538108e-172,17,0.46907506591709,-0.0654239998991788,1.52674514702704,5,2,7,0.588235294117647,7.61738605503667e-170,0.444762546207969,0.41133103496127,1.081276413412,0.279574176102035,-0.361431468039705,1.25095656045564,97.2477891674499,2.43733846614489,17.0,5.47398791583274e-169,0.655024068264186,fisher_only,upregulated,True,True,False,True,False,rosetteDM,184.0
AT5G44090,922.856650908188,2.2866175155833098e-170,18,-0.012925938079335,0.0206534108933606,0.348070467736372,3,2,5,0.5,2.20181327785324e-168,-0.032921117900794,0.0828506181977054,-0.397355126816733,0.691105600978415,-0.195305345665175,0.129463109863587,96.3768584417246,0.109558860187355,18.0,7.45798197159183e-146,0.898098883252695,fisher_only,downregulated,True,True,False,True,False,clim-gs5,1538.0
AT5G55970,901.171069331673,7.8162186683125e-166,18,-0.219071683147965,-0.0406363117820032,0.592980498699991,0,2,2,0.5,7.06741402620361e-164,-0.268242687948157,0.157042222634011,-1.70809278835348,0.0876191268319733,-0.57603978836294,0.0395544124666259,92.8648988253171,0.365620921844622,18.0,4.3244320085918e-96,0.386962102191871,fisher_only,downregulated,True,True,False,True,False,clim-prec1;clim-prec3;clim-bio19,9530.0
AT4G16860,855.960025217677,2.1445304802967498e-156,18,0.714640064747927,0.216761091282036,2.03824239774115,3,1,4,0.722222222222222,1.66621671344134e-154,0.736158122951863,0.497373445086358,1.4800913282052,0.138848875500168,-0.238675916284008,1.71099216218773,97.8978478812257,4.1718423958367,18.0,2.77855679455397e-140,0.481681937446557,fisher_only,upregulated,True,True,False,True,False,PC3sc0;aLRLpMRL0,470.0
AT1G02520,836.284513121913,2.70735876301577e-152,18,-0.0483400104225953,0.0598722211164386,0.953832544651645,2,6,8,0.555555555555556,1.98747704610016e-150,-0.121006574926455,0.231090444567461,-0.523632966100986,0.600533847950425,-0.573935523450029,0.331922373597119,95.4207632252843,0.807123271598829,18.0,5.18651375633347e-66,0.858765799124064,fisher_only,downregulated,True,True,False,True,False,Se82,345.0
AT5G63310,815.896821461619,4.7633744685933e-148,18,0.119478729645434,0.0457380458018312,0.801172437357113,5,2,7,0.555555555555556,3.30955687141179e-146,0.143775044655023,0.200424614557616,0.717352232271314,0.473156785840555,-0.249049981493226,0.536600070803273,97.5688104758961,0.645290634928721,18.0,1.69547837093146e-119,0.792600102093438,fisher_only,upregulated,True,True,False,True,False,DTF sweden 2009 (2nd experiment),2.0
AT5G03560,810.235877956771,7.176292696079429e-147,18,0.221388689253443,0.170835055943413,0.593044030550814,4,2,6,0.666666666666667,4.9007469370949806e-145,0.180093431385972,0.137448502706156,1.31026113664537,0.19010750986454,-0.0893006836470497,0.449487546418993,95.7959235444436,0.298809439749316,18.0,2.37841651194578e-94,0.557230554308331,fisher_only,upregulated,True,True,False,True,False,Co59,414.0
AT1G58602,796.847509840504,4.36967454479214e-144,18,0.488586383141479,0.408916063814504,0.795116623263304,3,1,4,0.722222222222222,2.8563032562878702e-142,0.520913904653143,0.217482445039736,2.39519978064422,0.0166113115426239,0.0946561451055495,0.947171664200737,92.6219927055179,0.630462122994814,18.0,4.09637219366221e-61,0.156616625127658,fisher_only,upregulated,True,True,False,True,False,Mean(R) ABA,3.0
AT4G36540,788.744394779281,2.1122927635375e-142,18,0.0623049432707644,0.0452199783335443,0.750898814480752,2,0,2,0.555555555555556,1.35178923206362e-140,0.098558728709205,0.19836664844841,0.4968513078187,0.619293910617813,-0.290232757983597,0.487350215402007,94.0584595529039,0.59140644043173,18.0,1.4365269017758601e-95,0.867190156116783,fisher_only,upregulated,True,True,False,True,False,clim-gs prec;clim-prec10;clim-prec11;clim-bio16;clim-prec9,4662.0
AT4G28780,731.073409083817,1.61050926802768e-134,15,0.735010146439453,0.303833575795731,1.84892797564997,3,2,5,0.6,9.266856044335311e-133,0.806863542923694,0.563008479905864,1.43312857926865,0.151821095429691,-0.296612800682441,1.91033988652983,94.8165765408596,3.79822382696512,15.0,1.1637646371493699e-94,0.502661974484254,fisher_only,upregulated,True,True,False,True,False,clim-pet11,2114.0
AT4G01610,732.078428590089,1.20415711908609e-130,18,0.101224327567628,0.0034868507455441,0.604285171185541,2,2,4,0.5,6.4830869956107e-129,0.0727840714337809,0.137388201751049,0.529769445309924,0.596271792293299,-0.196491855898997,0.342059998766559,97.1692912739641,0.309304510895266,18.0,1.31437612134672e-88,0.857050881550975,fisher_only,upregulated,True,True,False,True,False,clim-bio8,382.0
AT2G44010,731.992478846544,1.25453425062257e-130,18,-0.362351844884469,-0.295044328742821,0.726982714525984,0,6,6,0.777777777777778,6.74731421156083e-129,-0.546603068397983,0.181983509460804,-3.00358570959261,0.0026681838217683,-0.903284192721363,-0.189921944074602,89.6732165991735,0.39020900836809,18.0,1.23548167713569e-34,0.0491954688730019,consensus_significant,downregulated,True,True,True,True,True,Mean(LR.no) ABA,333.0
