accession_id,name,country,group,latitude,longitude,elevation_m,predicted_response_score,expanded_prs_763genes,genome_wide_prs
992,Ale-Stenar-44-4,SWE,south_sweden,55.3833,14.05,0.0,0.6409864025080304,0.6133239130842374,0.6271551577961338
9920,DIR-9,FRA,germany,48.54,4.32,147.0,0.6409864025080304,0.5868993384147407,0.6139428704613856
9921,FOR-23,FRA,western_europe,48.57,4.41,126.0,0.6409864025080304,0.5767347118924592,0.6088605572002448
9925,RUM-20,FRA,western_europe,48.91,4.52,125.0,0.6409864025080304,0.6235466792831371,0.6322665408955838
9926,TRE-1,FRA,western_europe,48.86,4.1,113.0,0.6409864025080304,0.5709960917917476,0.605991247149889
9927,ARR-17,FRA,western_europe,44.05,3.69,290.0,0.6409864025080304,0.5546825636171235,0.597834483062577
9928,BEZ-9,FRA,western_europe,44.12,3.77,461.0,0.6409864025080304,0.5501675273023132,0.5955769649051719
7125,Er-0,GER,germany,49.5955,11.0087,284.0,0.632826118393661,0.6014109169340301,0.6171185176638456
9710,Zerev-1-35,BUL,italy_balkan_caucasus,41.85,23.13,303.0,0.632826118393661,0.5525632378187725,0.5926946781062168
9647,Basen-1,ITA,italy_balkan_caucasus,40.37,16.77,9.0,0.632759288657547,0.645033114117078,0.6388962013873125
8354,Per-1,RUS,asia,58.0,56.3167,135.0,0.632759288657547,0.5123014064210354,0.5725303475392912
9689,Castelfed-3-205,ITA,central_europe,46.3378,11.2928,375.0,0.632759288657547,0.6373151797062482,0.6350372341818976
9690,Castelfed-3-206,ITA,central_europe,46.3378,11.2928,375.0,0.632759288657547,0.5927520126736257,0.6127556506655863
9692,Castelfed-3-208,ITA,central_europe,46.3378,11.2928,375.0,0.632759288657547,0.5835200953014353,0.6081396919794912
9682,Castelfed-1-198,ITA,central_europe,46.3378,11.2928,375.0,0.632759288657547,0.5700739160532786,0.6014166023554128
9824,Bes-5,ESP,admixed,42.91,-4.91,1456.0,0.632759288657547,0.6018233720881092,0.6172913303728281
9530,IP-Car-1,ESP,admixed,38.25,-4.32,761.0,0.632759288657547,0.5933802475848016,0.6130697681211743
9680,Castelfed-1-196,ITA,central_europe,46.3378,11.2928,375.0,0.632759288657547,0.6195205451180427,0.6261399168877948
9679,Castelfed-1-195,ITA,central_europe,46.3378,11.2928,375.0,0.632759288657547,0.5898483181174082,0.6113038033874776
9696,Castelfed-4-214,ITA,central_europe,46.3378,11.2928,375.0,0.632759288657547,0.5909305415014033,0.6118449150794751
9693,Castelfed-3-209,ITA,central_europe,46.3378,11.2928,375.0,0.632759288657547,0.5755131222911314,0.6041362054743392
9681,Castelfed-1-197,ITA,central_europe,46.3378,11.2928,375.0,0.632759288657547,0.584713119945915,0.608736204301731
8234,Gul1-2,SWE,south_sweden,56.4606,15.8127,88.0,0.632759288657547,0.5855327417243088,0.6091460151909279
9683,Castelfed-1-199,ITA,central_europe,46.3378,11.2928,375.0,0.632759288657547,0.5351164368778483,0.5839378627676977
9649,Bivio-1,ITA,italy_balkan_caucasus,39.13,16.17,521.0,0.6309812412465821,0.5514056785834107,0.5911934599149964
6102,T1130,SWE,south_sweden,55.6,13.2,43.0,0.6309812412465821,0.5976791640672635,0.6143302026569228
